          Token         Lexeme
        Keyword       function
     Identifier    doSomeMath$
      Separator              [
      Separator              ]
      Separator              {
        Keyword         return
        Integer              5
       Operator              +
        Integer             10
       Operator              -
        Integer             20
       Operator              *
        Integer             30
       Operator              +
           Real           33.3
       Operator              -
           Real           20.0
      Separator              ;
      Separator              }
      Separator             %%
        Keyword            int
     Identifier          num1$
      Separator              ,
     Identifier          num2$
      Separator              ;
        Keyword          while
      Separator              (
     Identifier            num
       Operator              <
        Integer             20
      Separator              )
      Separator              {
     Identifier            num
       Operator              =
     Identifier            num
       Operator              +
     Identifier     doSomeMath
      Separator              (
      Separator              )
      Separator              }
      Separator              }
Press any key to continue . . . 
