          Token         Lexeme
        Keyword       function
     Identifier        findMin
      Separator              [
     Identifier           numA
      Separator              :
        Keyword            int
      Separator              ,
     Identifier           numB
      Separator              :
        Keyword            int
      Separator              ]
      Separator              {
        Keyword             if
      Separator              (
     Identifier           numA
       Operator              <
     Identifier           numB
      Separator              )
        Keyword         return
     Identifier           numA
      Separator              ;
        Keyword           else
        Keyword         return
     Identifier           numB
      Separator              ;
        Keyword          endif
      Separator              }
      Separator             %%
        Keyword            int
     Identifier           numA
      Separator              ;
        Keyword            int
     Identifier           numB
      Separator              ;
        Keyword        boolean
     Identifier         isLess
      Separator              ;
        Keyword            int
     Identifier          temp$
       Operator              =
     Identifier           numA
       Operator              +
     Identifier           numB
      Separator              ;
        Keyword            put
      Separator              (
     Identifier          diff$
      Separator              )
      Separator              ;
        Keyword            put
      Separator              (
     Identifier           numA
       Operator              +
     Identifier           numB
      Separator              )
      Separator              ;
        Keyword             if
      Separator              (
     Identifier           numA
       Operator              >
     Identifier           numB
      Separator              )
     Identifier         isLess
       Operator              =
        Integer              0
      Separator              ;
        Keyword           else
     Identifier         isLess
       Operator              =
        Integer              1
      Separator              ;
        Keyword          endif
        Keyword          while
      Separator              (
     Identifier           numA
       Operator              <
     Identifier          temp$
      Separator              )
      Separator              {
        Keyword            put
      Separator              (
     Identifier           numA
       Operator              +
           Real            1.0
      Separator              )
      Separator              ;
     Identifier          temp$
       Operator              =
     Identifier          temp$
       Operator              -
        Integer              1
      Separator              ;
      Separator              }
        Keyword         return
Press any key to continue . . . 
